,base,yng,mid,old
2010-07-07,6008229,0,2,8
2010-07-08,6172205,4,0,15
2010-07-09,6201425,4,2,20
2010-07-10,5980197,1,5,10
2010-07-11,6646246,7,5,8
2010-07-12,6514358,4,1,6
2010-07-13,6087759,10,1,11
2010-07-14,6173303,6,2,17
2010-07-15,6146337,4,1,31
2010-07-16,6428849,3,0,9
2010-07-17,6260147,4,1,9
2010-07-18,6208238,1,0,2
2010-07-19,6362214,9,0,7
2010-07-20,6062948,5,1,8
2010-07-21,6501856,4,1,18
2010-07-22,6379658,7,1,20
2010-07-23,6602355,11,3,21
2010-07-24,6397726,6,0,6
2010-07-25,6546593,5,1,8
2010-07-26,6360603,2,1,11
2010-07-27,6339027,5,1,20
2010-07-28,6389264,3,3,7
2010-07-29,6359584,6,1,11
2010-07-30,6149875,5,0,8
2010-07-31,6346901,5,0,9
2010-08-01,5940911,11,1,19
2010-08-02,6222699,4,0,4
2010-08-03,6353348,5,1,18
2010-08-04,6357700,7,0,19
2010-08-05,6412335,2,1,17
2010-08-06,6811953,7,0,6
2010-08-07,6964715,10,4,25
2010-08-08,6462846,9,1,20
2010-08-09,6288791,4,1,18
2010-08-10,6413221,4,4,12
2010-08-11,6700427,3,1,10
2010-08-12,6732326,2,3,21
2010-08-13,6644261,7,2,29
2010-08-14,6386974,6,0,15
2010-08-15,6532705,4,0,3
2010-08-16,6671821,7,3,7
2010-08-17,6699170,11,1,22
2010-08-18,6734403,7,5,17
2010-08-19,6687937,9,0,1031
2010-08-20,6741799,4,0,137
2010-08-21,6701499,9,2,43
2010-08-22,6741407,7,1,41
2010-08-23,6541519,5,4,22
2010-08-24,6538843,8,1,22
2010-08-25,6780619,7,2,21
2010-08-26,6903373,11,2,15
2010-08-27,6846455,4,4,22
2010-08-28,6690237,9,2,11
2010-08-29,6995281,3,1,11
2010-08-30,6673773,7,3,15
2010-08-31,7083683,5,0,16
2010-09-01,7004173,4,4,19
2010-09-02,6951398,7,1,24
2010-09-03,6940166,7,1,12
2010-09-04,7036054,10,36,27
2010-09-05,7029312,4,2,11
2010-09-06,6768009,8,5,20
2010-09-07,7081916,4,2,20
2010-09-08,7313749,6,1,28
2010-09-09,5469446,5,1,51
2010-09-10,6542686,3,1,14
2010-09-11,7170920,4,0,11
2010-09-12,7400392,4,5,20
2010-09-13,7169332,9,3,17
2010-09-14,7416839,4,1,19
2010-09-15,7410333,5,1,9
2010-09-16,7292993,12,1,22
2010-09-17,7180543,7,1,15
2010-09-18,7465494,9,3,8
2010-09-19,7068896,9,6,12
2010-09-20,7239192,7,2,31
2010-09-21,7163962,5,1,27
2010-09-22,7287366,9,5,28
2010-09-23,7958971,8,5,19
2010-09-24,7343588,1,3,14
2010-09-25,7440518,6,2,14
2010-09-26,7659021,2,1,14
2010-09-27,7170844,5,2,26
2010-09-28,7348478,6,1,13
2010-09-29,7579938,3,5,23
2010-09-30,7358592,4,3,17
2010-10-01,7515856,3,6,14
2010-10-02,7321004,9,3,17
2010-10-03,7734370,5,3,17
2010-10-04,7367089,5,1,18
2010-10-05,7369509,5,0,14
2010-10-06,7397840,8,1,22
2010-10-07,7411144,5,4,19
2010-10-08,7978617,11,4,13
2010-10-09,7426301,3,5,11
2010-10-10,7726613,2,2,13
2010-10-11,7693208,3,2,13
2010-10-12,7487945,5,1,7
2010-10-13,7612656,5,0,13
2010-10-14,7728171,7,2,13
2010-10-15,7662119,3,4,27
2010-10-16,7755254,2,4,13
2010-10-17,8020063,7,2,9
2010-10-18,7531242,6,2,9
2010-10-19,7679965,5,1,21
2010-10-20,7549850,4,0,23
2010-10-21,7608873,3,0,16
