,base,yng,mid,old
2012-03-14,19297878,5,3,23
2012-03-15,17933223,17,3,17
2012-03-16,18218900,28,3,87
2012-03-17,18453320,14,2,18
2012-03-18,19180891,24,2,17
2012-03-19,18215008,9,4,31
2012-03-20,19047334,11,2,15
2012-03-21,18512670,17,3,19
2012-03-22,18584283,15,3,23
2012-03-23,18890285,9,3,27
2012-03-24,19056924,8,5,16
2012-03-25,19680772,11,3,29
2012-03-26,18744295,12,2,21
2012-03-27,18781433,16,0,17
2012-03-28,19178719,7,1,15
2012-03-29,19415029,7,3,24
2012-03-30,20221028,11,1,12
2012-03-31,20697719,2,3,24
2012-04-01,21964272,9,9,17
2012-04-02,19147540,9,0,22
2012-04-03,22533073,14,2,23
2012-04-04,19518159,10,7,27
2012-04-05,20043113,10,4,28
2012-04-06,19522668,12,9,103
2012-04-07,19255724,22,6,36
2012-04-08,19992055,16,4,24
2012-04-09,18700952,16,4,54
2012-04-10,17998551,8,6,30
2012-04-11,18085903,6,1,19
2012-04-12,18346923,15,6,184
2012-04-13,18271602,30,3,163
2012-04-14,18878274,12,2,64
2012-04-15,20154370,17,2,38
2012-04-16,17992085,13,2,38
2012-04-17,18072538,11,4,28
2012-04-18,18014291,15,1,24
2012-04-19,18082999,10,7,28
2012-04-20,17916715,12,2,21
2012-04-21,19119876,11,2,24
2012-04-22,20342765,17,2,36
2012-04-23,18726796,124,1,227
2012-04-24,18779193,79,5,78
2012-04-25,18538026,33,3,63
2012-04-26,18337590,31,2,42
2012-04-27,18136637,164,1,67
2012-04-28,19339257,60,1,31
2012-04-29,20166864,38,10,27
2012-04-30,19534201,37,11,27
2012-05-01,19617295,17,4,33
2012-05-02,19110378,27,7,29
2012-05-03,20481651,24,3,19
2012-05-04,20276082,12,2,22
2012-05-05,21090496,16,7,31
2012-05-06,22460101,24,12,26
2012-05-07,19362697,16,5,39
2012-05-08,19262364,25,5,27
2012-05-09,19557715,28,4,41
2012-05-10,19730497,14,1,33
2012-05-11,19552972,10,2,47
2012-05-12,19706743,22,3,74
2012-05-13,21152246,145,6,89
2012-05-14,19767855,33,3,38
2012-05-15,19498852,24,3,36
2012-05-16,20076344,19,6,46
2012-05-17,19996062,12,4,24
2012-05-18,20024111,16,0,26
2012-05-19,20432878,18,3,18
2012-05-20,22176919,16,6,28
2012-05-21,22086996,16,3,16
2012-05-22,19809351,16,0,29
2012-05-23,20323254,12,4,22
2012-05-24,20020008,8,3,52
2012-05-25,19951612,10,7,30
2012-05-26,20660622,8,3,45
2012-05-27,21888209,19,3,110
2012-05-28,20203531,14,1,46
2012-05-29,20499780,3,0,27
2012-05-30,19647116,14,7,30
2012-05-31,19719983,9,3,26
2012-06-01,20510555,7,5,20
2012-06-02,20478894,8,1,23
2012-06-03,22460972,6,0,26
2012-06-04,20097950,8,3,20
2012-06-05,19760245,12,6,35
2012-06-06,21563618,11,3,13
2012-06-07,19470693,12,3,19
2012-06-08,20546236,10,3,27
2012-06-09,20380141,7,9,39
2012-06-10,22310528,8,2,25
2012-06-11,20527318,12,1,29
2012-06-12,21185781,8,0,26
2012-06-13,19662877,16,6,33
2012-06-14,19999730,8,1,18
2012-06-15,20049878,10,4,28
2012-06-16,23477281,16,3,22
2012-06-17,23034593,13,1,21
2012-06-18,20765100,18,1,37
2012-06-19,22732782,8,5,31
2012-06-20,20528049,10,1,32
2012-06-21,20179543,13,2,26
2012-06-22,19625520,13,3,27
2012-06-23,20979443,20,3,32
2012-06-24,21987698,15,1,15
2012-06-25,20185985,8,1,22
2012-06-26,20113606,9,0,26
2012-06-27,19725797,8,4,70
2012-06-28,20194657,11,4,18
2012-06-29,20751617,11,5,95
2012-06-30,20735647,10,2,46
2012-07-01,22754869,7,1,16
2012-07-02,21334594,13,3,44
2012-07-03,21282379,7,1,41
2012-07-04,20949460,7,4,30
2012-07-05,20831643,13,3,168
2012-07-06,21969440,14,3,59
2012-07-07,21749134,17,2,35
2012-07-08,22649870,15,4,24
2012-07-09,21116152,12,5,38
2012-07-10,20652088,6,4,26
2012-07-11,21035897,7,4,53
2012-07-12,20901312,8,4,68
2012-07-13,21955292,8,7,54
2012-07-14,21608648,11,5,26
2012-07-15,22521293,9,1,17
2012-07-16,23050783,4,4,32
2012-07-17,21836960,5,3,23
2012-07-18,21511057,6,5,30
2012-07-19,21283117,13,7,33
2012-07-20,22384357,18,3,37
2012-07-21,21684794,13,5,28
2012-07-22,23007031,12,3,21
2012-07-23,21879573,7,4,74
2012-07-24,22260022,10,3,30
2012-07-25,22292900,11,1,33
2012-07-26,23263273,9,1,39
2012-07-27,21065863,10,3,23
2012-07-28,23364104,10,4,20
2012-07-29,23077673,10,4,14
2012-07-30,22433212,11,2,26
2012-07-31,22628910,11,3,24
2012-08-01,22410161,5,5,10
2012-08-02,22825062,6,5,54
2012-08-03,22106372,10,6,26
2012-08-04,22777656,11,4,14
2012-08-05,22774045,9,5,13
2012-08-06,21818505,10,6,28
2012-08-07,22700978,13,0,49
2012-08-08,24006660,5,4,31
2012-08-09,22156472,6,2,31
2012-08-10,23530635,9,5,24
2012-08-11,23266807,8,6,19
2012-08-12,22446950,11,9,17
2012-08-13,22509783,12,3,23
2012-08-14,22371557,4,4,18
2012-08-15,22657259,13,1,26
2012-08-16,22726811,13,2,17
2012-08-17,22996730,14,6,29
2012-08-18,23799573,5,1,22
2012-08-19,23372840,8,3,39
2012-08-20,22187737,7,6,18
2012-08-21,21982913,9,2,29
2012-08-22,22099089,11,3,30
2012-08-23,22217021,8,9,28
2012-08-24,22229162,6,6,12
2012-08-25,22712977,15,3,23
2012-08-26,23598856,12,3,85
2012-08-27,21917774,14,0,47
2012-08-28,21393976,12,2,24
2012-08-29,21739480,9,3,16
2012-08-30,22346826,6,2,32
2012-08-31,22883857,4,1,31
2012-09-01,23031422,10,1,33
2012-09-02,23650629,11,3,15
2012-09-03,21978147,11,2,30
2012-09-04,21633656,31,1,30
2012-09-05,21514156,25,4,25
2012-09-06,21773916,19,6,27
2012-09-07,21544976,32,3,25
2012-09-08,22326177,18,4,29
2012-09-09,23881933,20,6,23
2012-09-10,21876456,10,3,19
2012-09-11,22238760,18,2,25
2012-09-12,21532975,10,2,29
2012-09-13,22203923,11,4,25
2012-09-14,22373952,8,1,31
2012-09-15,22331335,13,2,19
2012-09-16,23286853,13,5,37
2012-09-17,23987534,13,4,32
2012-09-18,22996613,13,2,23
2012-09-19,22444280,4,6,33
2012-09-20,22068760,6,3,24
2012-09-21,22239633,11,1,52
2012-09-22,22808246,12,7,18
2012-09-23,24540864,6,5,23
2012-09-24,22877381,32,4,23
2012-09-25,21931155,15,3,28
2012-09-26,22476985,15,9,34
2012-09-27,21978572,11,4,39
2012-09-28,21739141,15,3,66
2012-09-29,22765124,6,0,50
2012-09-30,27120740,8,3,15
2012-10-01,23067542,20,3,30
2012-10-02,21962240,5,3,23
2012-10-03,21912528,10,7,32
2012-10-04,22370328,11,5,28
2012-10-05,22256060,14,4,27
2012-10-06,22877637,19,1,38
2012-10-07,23803763,19,4,19
2012-10-08,23914408,13,6,19
2012-10-09,22167751,12,3,30
2012-10-10,22177590,13,4,31
2012-10-11,21535840,13,7,74
2012-10-12,21350377,7,5,36
2012-10-13,22901894,5,3,20
2012-10-14,23893192,13,2,17
2012-10-15,22163994,16,4,27
2012-10-16,22234871,10,3,45
2012-10-17,21953021,9,9,34
2012-10-18,21955050,16,2,131
2012-10-19,22006219,6,7,51
2012-10-20,22546270,12,4,29
2012-10-21,24090178,4,1,26
2012-10-22,22187041,9,2,41
2012-10-23,22152394,4,2,27
2012-10-24,21903301,2,3,36
2012-10-25,22408869,8,2,26
2012-10-26,21259152,18,3,33
2012-10-27,22108735,9,7,26
2012-10-28,23600209,15,5,19
2012-10-29,21934199,8,2,19
2012-10-30,22214689,6,2,48
2012-10-31,22658340,7,8,20
2012-11-01,22029152,12,8,19
2012-11-02,21569953,9,1,20
2012-11-03,22407162,8,1,34
2012-11-04,22972205,10,1,33
2012-11-05,21796915,16,2,46
2012-11-06,21820863,17,9,33
2012-11-07,22098611,26,6,49
2012-11-08,22145172,13,3,76
2012-11-09,22175490,16,4,44
2012-11-10,22197384,7,5,369
2012-11-11,24710519,8,5,82
2012-11-12,22155167,9,3,35
2012-11-13,22108870,7,5,53
2012-11-14,22909905,5,5,30
2012-11-15,21946069,4,4,33
2012-11-16,22854106,4,1,35
2012-11-17,22839827,10,5,30
2012-11-18,24370738,11,0,22
2012-11-19,22093407,3,0,51
2012-11-20,21662488,8,3,33
2012-11-21,21881758,11,2,35
2012-11-22,22148707,7,7,26
2012-11-23,23174358,9,1,26
2012-11-24,24036816,12,3,25
2012-11-25,24491127,9,4,17
2012-11-26,22667132,8,2,19
2012-11-27,22415439,8,5,20
2012-11-28,23311948,8,3,53
2012-11-29,22458426,11,3,26
2012-11-30,22467439,12,4,36
2012-12-01,23782049,5,6,24
2012-12-02,24383976,10,1,14
2012-12-03,22496095,10,3,21
2012-12-04,22236495,6,0,17
2012-12-05,24326728,11,1,24
2012-12-06,22586602,5,4,29
2012-12-07,24034124,17,2,42
2012-12-08,23349689,10,3,16
2012-12-09,25092062,14,3,29
2012-12-10,23160262,3,2,35
2012-12-11,22205416,7,5,18
2012-12-12,22506683,2,2,28
2012-12-13,22571652,10,3,25
2012-12-14,22345257,11,5,23
2012-12-15,23181484,7,6,35
2012-12-16,26953151,15,1,33
2012-12-17,23285932,9,4,17
2012-12-18,22729641,14,0,29
2012-12-19,22577887,13,1,62
2012-12-20,23034011,12,5,56
2012-12-21,24544776,18,4,62
2012-12-22,23121201,5,2,25
2012-12-23,24138235,6,0,22
2012-12-24,27862380,8,2,22
2012-12-25,24467679,15,6,26
2012-12-26,23392186,14,2,21
2012-12-27,23629573,8,5,44
2012-12-28,24481554,11,6,25
2012-12-29,25175155,12,2,19
2012-12-30,25901256,22,4,12
2012-12-31,33603266,12,2,22
2013-01-01,30078051,11,5,10
2013-01-02,23632479,7,3,31
2013-01-03,23988875,12,4,36
2013-01-04,23979641,16,2,32
2013-01-05,24134722,10,2,20
2013-01-06,25472616,4,3,28
2013-01-07,24663042,10,5,40
2013-01-08,24035346,5,4,26
2013-01-09,23135435,6,3,21
2013-01-10,23179404,8,3,20
2013-01-11,23667071,11,6,133
2013-01-12,24319352,15,5,261
2013-01-13,25947164,16,5,36
2013-01-14,30239817,19,6,49
2013-01-15,24589446,17,4,54
2013-01-16,23707805,14,2,28
2013-01-17,23552540,14,2,35
2013-01-18,23946806,8,1,45
2013-01-19,25197499,14,1,21
2013-01-20,27084675,9,0,16
2013-01-21,25142535,11,5,33
2013-01-22,23998020,11,5,47
2013-01-23,25137222,11,4,28
2013-01-24,24924785,8,0,36
2013-01-25,24954961,7,6,32
2013-01-26,25779356,7,4,22
2013-01-27,27916823,5,6,13
2013-01-28,25484193,5,8,23
2013-01-29,24569782,5,6,25
2013-01-30,24936491,9,4,33
2013-01-31,25555427,8,5,18
2013-02-01,24489598,11,5,31
2013-02-02,27299195,9,3,30
2013-02-03,28914804,2,5,23
2013-02-04,25971645,9,2,20
2013-02-05,25678611,12,4,34
2013-02-06,26870036,9,5,25
2013-02-07,25597742,6,1,27
2013-02-08,25434014,5,4,39
2013-02-09,26510485,8,10,32
2013-02-10,27802696,11,5,50
2013-02-11,27686186,5,5,21
2013-02-12,26216933,6,6,25
2013-02-13,26065882,7,2,23
2013-02-14,27681847,9,7,36
2013-02-15,26288464,10,3,29
2013-02-16,26838561,8,3,19
2013-02-17,28389923,36,6,29
2013-02-18,26527508,23,3,27
2013-02-19,26436750,18,6,38
2013-02-20,25714617,11,8,26
2013-02-21,25884150,14,8,24
2013-02-22,26202846,5,6,27
2013-02-23,27403718,19,6,16
2013-02-24,29098180,14,5,23
2013-02-25,26764843,8,3,21
2013-02-26,25787723,11,2,31
2013-02-27,24825424,18,4,15
2013-02-28,26601793,12,2,36
2013-03-01,26894734,6,6,49
2013-03-02,27862482,9,6,24
2013-03-03,28930366,9,2,21
2013-03-04,26140185,11,5,22
2013-03-05,26473750,6,0,26
2013-03-06,27907483,12,1,25
2013-03-07,27363689,11,1,28
2013-03-08,30513259,20,7,25
2013-03-09,28318826,13,3,16
2013-03-10,31608566,10,1,18
2013-03-11,27251201,11,2,18
2013-03-12,27708959,10,2,39
2013-03-13,28347983,15,4,26
2013-03-14,28314769,5,6,28
2013-03-15,28138587,8,4,25
2013-03-16,27826342,12,4,22
2013-03-17,28874697,21,3,43
2013-03-18,29749544,17,3,23
2013-03-19,28223589,10,1,37
2013-03-20,29424667,12,1,39
2013-03-21,28744250,15,2,27
2013-03-22,28730963,12,7,24
2013-03-23,28757323,13,5,31
2013-03-24,29165996,10,2,11
2013-03-25,28958159,14,1,36
2013-03-26,29358415,10,3,18
2013-03-27,29701556,13,8,19
2013-03-28,29986876,9,3,30
2013-03-29,30935957,23,7,43
2013-03-30,30167823,11,0,16
2013-03-31,31071017,10,6,15
2013-04-01,31731748,8,3,34
2013-04-02,29725831,5,1,51
2013-04-03,30714895,8,5,20
2013-04-04,30790242,4,5,30
2013-04-05,30544583,14,4,33
2013-04-06,32758032,11,3,25
2013-04-07,33941552,10,5,28
2013-04-08,30006080,18,2,22
2013-04-09,28019418,9,3,31
2013-04-10,27375468,9,0,20
2013-04-11,26872539,6,6,17
2013-04-12,26653092,8,3,23
2013-04-13,30296058,5,1,16
2013-04-14,30963575,11,1,16
2013-04-15,27567441,11,8,28
2013-04-16,26745041,1,5,16
2013-04-17,27433055,9,7,27
2013-04-18,27506473,10,8,48
2013-04-19,27287232,4,4,26
2013-04-20,28841114,10,1,31
2013-04-21,31085373,13,1,16
2013-04-22,27309677,21,1,67
2013-04-23,25346334,19,7,37
2013-04-24,26917756,38,4,32
2013-04-25,27237866,12,3,20
2013-04-26,27096327,11,6,24
2013-04-27,28456469,8,2,10
2013-04-28,29876530,7,22,20
2013-04-29,30306253,11,35,37
2013-04-30,28111933,12,9,41
2013-05-01,27988470,9,8,34
2013-05-02,27431084,9,11,22
2013-05-03,29255404,13,5,26
2013-05-04,29443541,12,2,45
2013-05-05,30780757,9,6,23
2013-05-06,32221683,17,8,17
2013-05-07,28175480,12,7,35
2013-05-08,27824578,8,2,164
2013-05-09,27822240,13,7,67
2013-05-10,28025093,6,4,52
2013-05-11,30499748,5,5,24
2013-05-12,32340356,13,4,27
2013-05-13,28555470,15,6,27
2013-05-14,28670759,8,1,37
2013-05-15,29202878,15,2,37
2013-05-16,28987986,12,4,35
2013-05-17,28758559,14,1,23
2013-05-18,30176746,9,6,34
2013-05-19,32667673,3,3,24
2013-05-20,29756189,16,2,29
2013-05-21,29895675,23,2,45
2013-05-22,29782844,15,6,32
2013-05-23,29379409,12,0,36
2013-05-24,28591789,9,2,35
2013-05-25,30101577,4,0,26
2013-05-26,32908578,14,3,61
2013-05-27,29278911,11,4,54
2013-05-28,28498448,14,6,39
2013-05-29,28619030,8,3,32
2013-05-30,28880601,12,3,43
2013-05-31,29278844,12,6,41
2013-06-01,29967750,9,3,15
2013-06-02,31362137,17,3,12
2013-06-03,28677205,27,2,18
2013-06-04,30300264,14,6,78
2013-06-05,28392440,17,5,80
2013-06-06,28451044,7,3,62
2013-06-07,28340645,14,4,37
2013-06-08,32322167,10,1,18
2013-06-09,32179313,26,5,27
2013-06-10,29232481,20,7,42
2013-06-11,29611329,22,20,27
2013-06-12,28444976,9,10,41
2013-06-13,27575445,10,4,27
2013-06-14,28305390,11,2,26
2013-06-15,29508163,7,4,35
2013-06-16,31960629,14,5,25
2013-06-17,28755471,11,7,38
2013-06-18,28264302,9,3,63
2013-06-19,29091008,9,6,31
2013-06-20,29526008,11,5,26
2013-06-21,27803196,16,2,26
2013-06-22,29820482,6,3,18
2013-06-23,32589878,17,6,12
2013-06-24,28681881,11,2,34
2013-06-25,28198598,10,3,19
2013-06-26,28373963,7,1,18
2013-06-27,27862965,9,4,45
2013-06-28,27554029,8,14,38
2013-06-29,29970162,7,3,22
2013-06-30,32686018,6,2,50
2013-07-01,29067908,9,3,31
2013-07-02,27899131,9,4,26
2013-07-03,28684368,16,3,28
2013-07-04,28706080,10,3,60
2013-07-05,30609621,13,7,56
2013-07-06,31792605,13,1,20
2013-07-07,33714956,18,7,23
2013-07-08,30163954,5,3,28
2013-07-09,28618861,13,4,28
2013-07-10,28981314,5,0,22
2013-07-11,28249015,15,3,41
2013-07-12,28380954,6,4,21
2013-07-13,28605136,7,5,19
2013-07-14,29560181,6,4,12
2013-07-15,30876631,7,5,15
2013-07-16,28854154,8,2,18
2013-07-17,28570490,10,5,22
2013-07-18,28433915,11,5,19
2013-07-19,29039627,9,4,29
2013-07-20,30106972,5,4,22
2013-07-21,32872504,8,4,28
2013-07-22,31437634,10,8,16
2013-07-23,30339031,10,5,28
2013-07-24,31136691,9,7,25
2013-07-25,31771301,16,7,30
2013-07-26,32005702,19,4,26
2013-07-27,32107213,13,3,24
2013-07-28,33177456,9,4,19
2013-07-29,30637082,6,3,36
2013-07-30,31190298,11,6,32
2013-07-31,32740151,12,3,27
2013-08-01,31780775,6,5,30
2013-08-02,35218313,12,5,18
2013-08-03,31084474,11,4,19
2013-08-04,32083178,14,3,16
2013-08-05,31401308,17,1,23
2013-08-06,31932409,11,5,28
2013-08-07,32519435,8,3,30
2013-08-08,34463360,14,4,27
2013-08-09,33913167,12,5,17
2013-08-10,34577136,11,3,20
2013-08-11,33674380,15,1,29
2013-08-12,33726072,19,1,111
2013-08-13,32649852,10,5,51
2013-08-14,33166036,5,5,36
2013-08-15,33276140,8,5,19
2013-08-16,33629579,13,3,24
2013-08-17,34088905,40,6,29
2013-08-18,33871196,12,7,34
2013-08-19,32869288,7,5,49
2013-08-20,32582006,19,6,25
2013-08-21,33191494,8,11,27
2013-08-22,33289561,19,4,32
2013-08-23,33633444,13,4,23
2013-08-24,33738415,10,2,22
2013-08-25,35633217,10,3,31
2013-08-26,31966004,11,3,25
2013-08-27,32068710,9,1,24
2013-08-28,31772753,15,3,60
2013-08-29,31835997,6,3,32
2013-08-30,32857577,13,1,34
2013-08-31,33157097,7,7,15
2013-09-01,34507639,8,6,27
2013-09-02,30938168,18,4,27
2013-09-03,29666392,17,6,30
2013-09-04,31890049,11,1,28
2013-09-05,29916351,18,5,34
2013-09-06,29908489,17,5,21
2013-09-07,30585237,14,3,16
2013-09-08,35659920,9,1,19
2013-09-09,30359118,11,1,25
2013-09-10,28897583,17,1,30
2013-09-11,29842230,12,7,23
2013-09-12,29344021,9,5,24
2013-09-13,29826785,17,5,40
2013-09-14,31543128,15,1,36
2013-09-15,33719212,8,1,28
2013-09-16,38029850,8,1,29
2013-09-17,30818025,42,3,43
2013-09-18,29503897,33,3,23
2013-09-19,29757682,7,3,31
2013-09-20,29335299,18,8,37
2013-09-21,31108160,9,6,63
2013-09-22,32949092,13,4,15
2013-09-23,33082296,12,4,40
2013-09-24,29885388,65,2,56
2013-09-25,29412047,58,14,50
2013-09-26,30210290,25,6,49
2013-09-27,28970153,11,1,25
2013-09-28,30347052,12,6,41
2013-09-29,32562296,16,1,65
2013-09-30,29888843,14,6,89
2013-10-01,29707963,20,7,111
2013-10-02,30225224,13,7,60
2013-10-03,28934732,21,7,49
2013-10-04,29570766,12,3,35
2013-10-05,31161779,15,4,30
2013-10-06,34288098,8,3,52
2013-10-07,29947534,13,4,40
2013-10-08,30180029,15,4,40
2013-10-09,29777618,14,7,27
2013-10-10,29098847,10,5,31
2013-10-11,28972532,19,5,35
2013-10-12,31557111,17,1,23
2013-10-13,31628817,10,5,20
2013-10-14,32321603,20,7,30
2013-10-15,31589208,10,5,34
2013-10-16,34504630,19,9,51
2013-10-17,29683161,15,4,32
2013-10-18,29164093,10,8,41
2013-10-19,30391960,15,1,14
2013-10-20,33097668,12,3,23
2013-10-21,30297861,17,5,50
2013-10-22,29001239,13,9,58
2013-10-23,29298823,14,4,46
2013-10-24,29223864,15,2,25
2013-10-25,29886456,2,5,264
2013-10-26,32457355,7,6,37
2013-10-27,33298236,5,4,22
2013-10-28,29456632,10,4,25
2013-10-29,28438816,16,3,53
2013-10-30,28828401,7,7,34
2013-10-31,30237211,8,3,28
2013-11-01,29372869,10,2,30
2013-11-02,31467692,13,1,30
2013-11-03,33548864,12,6,17
2013-11-04,32212893,11,3,24
2013-11-05,29330547,14,5,23
2013-11-06,28761626,3,3,99
2013-11-07,28969947,7,4,35
2013-11-08,29450719,2,2,37
2013-11-09,30541501,11,6,18
2013-11-10,33742656,4,2,23
2013-11-11,31817811,19,4,45
2013-11-12,29072158,7,4,29
2013-11-13,28767740,3,2,30
2013-11-14,28750662,10,3,25
2013-11-15,29792414,6,2,24
2013-11-16,32370889,9,3,26
2013-11-17,33570644,14,3,70
2013-11-18,30085167,10,4,42
2013-11-19,29174571,6,5,56
2013-11-20,29259565,13,1,47
2013-11-21,29256275,21,3,42
2013-11-22,29440553,12,5,34
2013-11-23,31410604,15,3,35
2013-11-24,34146940,11,4,26
2013-11-25,31378390,12,1,41
2013-11-26,29379718,7,1,34
2013-11-27,31316806,6,3,28
2013-11-28,29273619,10,2,27
2013-11-29,30045431,7,1,30
2013-11-30,30667130,15,2,18
2013-12-01,34326525,9,2,33
2013-12-02,30123005,9,7,23
2013-12-03,29267351,9,2,41
2013-12-04,31935487,5,3,35
2013-12-05,29255446,11,6,37
2013-12-06,29455585,10,3,32
2013-12-07,31242324,13,7,32
2013-12-08,32632258,6,4,29
2013-12-09,29851970,6,2,17
2013-12-10,29431447,6,1,40
2013-12-11,29312256,17,4,28
2013-12-12,28886599,9,4,28
2013-12-13,28678370,12,5,20
2013-12-14,29874208,11,4,20
2013-12-15,32492934,10,3,21
2013-12-16,29368033,14,6,36
2013-12-17,28423851,7,5,22
2013-12-18,29048155,13,1,49
2013-12-19,29073093,12,5,36
2013-12-20,29756886,22,8,45
2013-12-21,30900082,13,3,43
2013-12-22,31600059,9,2,18
2013-12-23,32277659,6,4,39
2013-12-24,33802098,5,5,29
2013-12-25,31663218,8,6,27
2013-12-26,30311025,9,3,29
2013-12-27,33153629,8,2,22
2013-12-28,31903503,8,3,17
2013-12-29,32998110,7,2,25
2013-12-30,34128262,6,3,18
2013-12-31,47792432,3,1,13
2014-01-01,41067089,15,3,10
2014-01-02,30727175,8,3,16
2014-01-03,30927080,8,0,22
2014-01-04,30775863,9,4,23
2014-01-05,32293054,6,2,28
2014-01-06,31614731,9,1,28
2014-01-07,30461614,8,3,33
2014-01-08,29634849,5,0,25
2014-01-09,29134933,5,2,21
2014-01-10,28596623,11,0,28
2014-01-11,30147629,8,5,12
2014-01-12,31977321,21,1,49
2014-01-13,33228469,18,4,42
2014-01-14,28867879,12,6,43
2014-01-15,28210071,14,3,26
2014-01-16,27954494,4,7,34
2014-01-17,28715503,13,4,26
2014-01-18,30824889,10,5,29
2014-01-19,33341488,8,4,16
2014-01-20,30275034,6,2,34
2014-01-21,29100876,21,3,33
2014-01-22,29478862,8,4,31
2014-01-23,29591991,7,4,27
2014-01-24,29112869,16,6,39
2014-01-25,30981400,7,7,23
2014-01-26,34282090,8,3,17
2014-01-27,30599906,7,6,24
2014-01-28,29407335,8,7,34
2014-01-29,30122929,19,13,54
2014-01-30,30101531,9,11,46
2014-01-31,30355903,5,2,32
2014-02-01,32176915,14,3,17
2014-02-02,34813965,8,5,20
2014-02-03,32512523,11,6,26
2014-02-04,30936588,12,4,25
2014-02-05,30282816,10,7,26
2014-02-06,30392499,7,4,34
2014-02-07,31863942,8,3,21
2014-02-08,39921460,9,8,25
2014-02-09,36727536,23,8,18
2014-02-10,31763053,9,3,43
2014-02-11,33147346,17,5,32
2014-02-12,31344652,14,6,57
2014-02-13,31175716,11,3,34
2014-02-14,38554245,13,7,23
2014-02-15,38900824,16,4,16
2014-02-16,36772658,13,7,25
2014-02-17,32535257,16,1,29
2014-02-18,30948687,9,3,25
2014-02-19,31016245,8,5,48
2014-02-20,31458013,10,5,36
2014-02-21,31623417,10,0,25
2014-02-22,33029205,5,3,20
2014-02-23,34979113,13,1,27
2014-02-24,31702625,12,11,29
2014-02-25,30405008,9,4,18
2014-02-26,31035435,10,8,30
2014-02-27,30842512,11,5,32
2014-02-28,31680029,14,4,42
2014-03-01,32580063,13,1,23
2014-03-02,34101168,12,3,21
2014-03-03,31861060,15,1,25
2014-03-04,30566416,21,3,48
2014-03-05,31309093,167,2,50
2014-03-06,31121898,88,6,34
2014-03-07,31291865,100,3,15
2014-03-08,32765537,18,2,23
2014-03-09,34378527,11,7,22
2014-03-10,32095192,18,6,81
2014-03-11,31683044,10,2,35
2014-03-12,31930753,15,3,22
2014-03-13,32822883,9,5,21
2014-03-14,35708184,11,9,24
2014-03-15,33039992,6,3,23
2014-03-16,34743829,8,3,25
2014-03-17,32569003,6,6,18
2014-03-18,32584262,12,3,30
2014-03-19,32809818,13,4,19
2014-03-20,33259081,8,5,29
2014-03-21,34901619,7,2,13
2014-03-22,34653528,7,2,16
2014-03-23,35564617,13,2,29
2014-03-24,33735370,7,1,22
2014-03-25,33972661,7,7,27
2014-03-26,34851645,11,4,35
2014-03-27,34770824,16,0,32
2014-03-28,36138201,7,2,26
2014-03-29,35932745,6,2,17
2014-03-30,37400409,11,5,20
2014-03-31,37049587,9,2,21
2014-04-01,38650396,14,1,17
2014-04-02,34876641,3,6,13
2014-04-03,34609944,6,1,31
2014-04-04,35338521,7,8,65
2014-04-05,36250361,8,3,22
2014-04-06,37639419,5,4,34
2014-04-07,34524787,40,2,39
2014-04-08,33241019,6,0,28
2014-04-09,32313053,4,4,37
2014-04-10,31330140,41,3,31
2014-04-11,30927616,41,4,36
2014-04-12,33035961,13,5,44
2014-04-13,35617660,14,5,30
2014-04-14,30999340,15,8,31
2014-04-15,30353816,7,5,32
2014-04-16,30369958,19,2,52
2014-04-17,30501342,10,3,23
2014-04-18,31230630,8,4,29
2014-04-19,32725166,6,3,13
2014-04-20,35039834,11,2,26
2014-04-21,31300005,7,1,40
2014-04-22,31061859,19,2,51
2014-04-23,31603535,11,3,38
2014-04-24,31245455,9,3,34
2014-04-25,31302413,10,5,31
2014-04-26,33619121,2,2,16
2014-04-27,35945120,10,6,36
2014-04-28,32144648,7,8,29
2014-04-29,35546308,10,3,29
2014-04-30,32384520,9,4,35
2014-05-01,32474999,15,2,20
2014-05-02,32603033,9,5,26
2014-05-03,34317238,17,31,20
2014-05-04,34654943,9,17,33
2014-05-05,35903710,11,4,24
2014-05-06,36024016,19,6,33
2014-05-07,33081510,13,5,22
2014-05-08,32493427,4,4,25
2014-05-09,32247551,8,4,30
2014-05-10,34631219,8,0,20
2014-05-11,37564805,11,3,31
2014-05-12,33912807,3,4,33
2014-05-13,32929996,14,4,19
2014-05-14,32030672,8,3,33
2014-05-15,32939033,9,3,35
2014-05-16,32792862,11,1,28
2014-05-17,34985079,25,4,28
2014-05-18,37791367,19,3,26
2014-05-19,33222218,15,3,51
2014-05-20,33187925,12,0,36
2014-05-21,32990181,10,3,37
2014-05-22,33457406,9,1,47
2014-05-23,33559259,13,4,40
2014-05-24,35211823,17,7,36
2014-05-25,38644725,11,5,23
2014-05-26,33889957,19,5,32
2014-05-27,32966430,16,1,39
2014-05-28,32874909,10,2,36
2014-05-29,32893566,7,4,47
2014-05-30,32772191,7,6,30
2014-05-31,35055328,10,4,27
2014-06-01,38155939,11,3,25
2014-06-02,32933991,16,4,33
2014-06-03,32802142,15,4,41
2014-06-04,32421235,8,4,29
2014-06-05,32213722,6,1,36
2014-06-06,33435012,12,2,32
2014-06-07,36689757,13,2,32
2014-06-08,37471930,19,3,25
2014-06-09,34360196,9,6,30
2014-06-10,32505125,9,3,29
2014-06-11,32918786,6,4,25
2014-06-12,32665819,13,7,37
2014-06-13,33781095,6,2,51
